"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "XML", "Markdown", "JSON", "Prisma", "TypeScript JSX", "PostCSS", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 7, 55
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\faculty\FacultyManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 375, 0, 0, 3, 22, 400
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\faculty\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 7, 38
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 5, 10, 83
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\settings\InstitutionSettingsManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 16, 144
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 8, 50
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\students\StudentManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 429, 0, 0, 12, 25, 466
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\students\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 2, 8, 44
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\subjects\SubjectManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 572, 0, 0, 12, 30, 614
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 4, 9, 66
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 2, 9, 82
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\attendance\AttendanceManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 4, 21, 314
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\attendance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 7, 64
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 2, 16, 128
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 5, 9, 82
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 11, 128
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 12, 113
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 7, 10, 57
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 11, 6, 38
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 4, 13
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\setup-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 21, 219
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\activate\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 4, 20
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\attendance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 4, 15, 115
